Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1642723200000,2022-01-21,1INCHBTC,4.995e-05,5.086e-05,4.696e-05,5.056e-05,722126.4,35.71790513,6856
1642636800000,2022-01-20,1INCHBTC,5.011e-05,5.191e-05,4.992e-05,4.996e-05,281564.6,14.36641483,3637
1642550400000,2022-01-19,1INCHBTC,5.165e-05,5.176e-05,4.996e-05,5.023e-05,358356.1,18.16829159,6086
1642464000000,2022-01-18,1INCHBTC,5.316e-05,5.381e-05,5.1e-05,5.179e-05,465200.3,24.28467605,5264
1642377600000,2022-01-17,1INCHBTC,5.653e-05,5.689e-05,5.257e-05,5.319e-05,492040.5,26.73252325,6163
1642291200000,2022-01-16,1INCHBTC,5.538e-05,5.71e-05,5.522e-05,5.651e-05,397706.4,22.386256,9316
1642204800000,2022-01-15,1INCHBTC,5.505e-05,5.636e-05,5.457e-05,5.541e-05,320701.2,17.73938257,5586
1642118400000,2022-01-14,1INCHBTC,5.516e-05,5.706e-05,5.417e-05,5.501e-05,446920.9,24.71947184,6623
1642032000000,2022-01-13,1INCHBTC,5.118e-05,5.775e-05,5.08e-05,5.497e-05,2345664.4,130.28376544,22675
1641945600000,2022-01-12,1INCHBTC,5.03e-05,5.2e-05,5.016e-05,5.115e-05,293380.2,14.97440708,3587
1641859200000,2022-01-11,1INCHBTC,4.963e-05,5.036e-05,4.913e-05,5.024e-05,254409.6,12.65608369,2943
1641772800000,2022-01-10,1INCHBTC,5.136e-05,5.21e-05,4.892e-05,4.964e-05,378697.0,19.00796136,4738
1641686400000,2022-01-09,1INCHBTC,5.099e-05,5.213e-05,5.071e-05,5.137e-05,233718.6,11.9798141,2798
1641600000000,2022-01-08,1INCHBTC,5.258e-05,5.336e-05,5.017e-05,5.105e-05,402309.5,20.75141145,5173
1641513600000,2022-01-07,1INCHBTC,5.443e-05,5.458e-05,5.163e-05,5.25e-05,512480.1,27.05593003,6051
1641427200000,2022-01-06,1INCHBTC,5.337e-05,5.517e-05,5.2e-05,5.443e-05,522571.3,28.02883248,6891
1641340800000,2022-01-05,1INCHBTC,5.41e-05,5.548e-05,5.125e-05,5.335e-05,762849.6,41.29344025,8148
1641254400000,2022-01-04,1INCHBTC,5.518e-05,5.576e-05,5.389e-05,5.409e-05,553272.0,30.25298793,5506
1641168000000,2022-01-03,1INCHBTC,5.395e-05,5.66e-05,5.387e-05,5.515e-05,844336.4,46.67972407,7566
1641081600000,2022-01-02,1INCHBTC,5.306e-05,5.469e-05,5.25e-05,5.395e-05,359022.2,19.28942959,4907
1640995200000,2022-01-01,1INCHBTC,5.176e-05,5.34e-05,5.125e-05,5.3e-05,340459.5,17.79362558,2846
1640908800000,2021-12-31,1INCHBTC,5.229e-05,5.24e-05,5.109e-05,5.176e-05,332489.0,17.14159761,3587
1640822400000,2021-12-30,1INCHBTC,5.203e-05,5.335e-05,5.049e-05,5.228e-05,635801.9,33.03899926,6179
1640736000000,2021-12-29,1INCHBTC,5.339e-05,5.399e-05,5.133e-05,5.205e-05,582529.2,30.5748528,6166
1640649600000,2021-12-28,1INCHBTC,5.511e-05,5.606e-05,5.323e-05,5.347e-05,745447.7,40.6160223,8869
1640563200000,2021-12-27,1INCHBTC,5.438e-05,5.783e-05,5.398e-05,5.51e-05,1051328.4,59.10795907,8519
1640476800000,2021-12-26,1INCHBTC,5.423e-05,5.527e-05,5.296e-05,5.427e-05,677327.3,36.83866827,6966
1640390400000,2021-12-25,1INCHBTC,5.42e-05,5.522e-05,5.319e-05,5.426e-05,1193377.2,64.42514565,7756
1640304000000,2021-12-24,1INCHBTC,5.552e-05,5.828e-05,5.325e-05,5.418e-05,1427536.4,79.08257169,14020
1640217600000,2021-12-23,1INCHBTC,5.101e-05,5.952e-05,5.066e-05,5.558e-05,2343569.0,130.72990437,19501
1640131200000,2021-12-22,1INCHBTC,4.989e-05,5.252e-05,4.979e-05,5.101e-05,697016.3,35.58314601,6733
1640044800000,2021-12-21,1INCHBTC,5.121e-05,5.134e-05,4.949e-05,4.989e-05,304237.0,15.24082076,4387
