JobFolder,JobName,Revision,ModifiedDate,Comments,Product,LogOnUser,Line,SetupName,TopBottom,PanelLength,PanelWidth,PanelThickness,ImportCad,ImportBom,Optimize,Datacheck
"\GOOGLE","50GTU4-lot 1--test4","02","2025/04/30 19:07:17","","MODEL1","TOUMI","Line6","Original setup","0","321","210","1.6","1","1","1","1",
LineName,OrderNum,ModelName,ModuleNumber,SideNo,SetupName,AVLNAME,AVL,PartNumber,FeederName,Status,Location,FeederID,PartNumberImage,PartShapeName,PackageName,PartComment,PMABAR,ChuteType,FeederType,TapeWidth,FeedPitch,PTPMNH,QTY,PMADC
"Line6","1","NXT6","2","0","Original setup","","","28-HB0103-KRXJR","KT-0800F-180","Variable","'18","21018","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0103-KRXJR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","10","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HD1003-KR01JR","KT-0800F-180","Variable","'19","21019","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HD1003-KR01JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","16","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB0100-JCX1JR","KT-0800F-180","Variable","'20","21020","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0100-JCX1JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","12","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0103-FTX1JR","KT-0800F-180","Variable","'21","21021","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0103-FTX1JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","22","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0229-JTX1JR","KT-0800F-180","Variable","'22","21022","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0229-JTX1JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","64","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0103-JTXJR","KT-0800F-180","Variable","'23","21023","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0103-JTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","116","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0220-JTXJR","KT-0800F-180","Variable","'24","21024","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0220-JTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","54","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HF0225-MBAJR","KT-0800F-180","Variable","'25","21025","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HF0225-MBAJR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","14","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB0330-JCX1JR","KT-0800F-180","Variable","'26","21026","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0330-JCX1JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","12","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB1003-MSX1JR","KT-0800F-180","Variable","'27","21027","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB1003-MSX1JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","10","0",
