JobFolder,JobName,Revision,ModifiedDate,Comments,Product,LogOnUser,Line,SetupName,TopBottom,PanelLength,PanelWidth,PanelThickness,ImportCad,ImportBom,Optimize,Datacheck,,,,,,,,
\D10,40-43D10 6Module,2,4/30/2025 19:05,,MODEL1,TOUMI,Line6,Original setup,0,299,250,1.6,1,1,0,0,,,,,,,,
LineName,OrderNum,ModelName,ModuleNumber,SideNo,SetupName,AVLNAME,AVL,PartNumber,FeederName,Status,Location,FeederID,PartNumberImage,PartShapeName,PackageName,PartComment,PMABAR,ChuteType,FeederType,TapeWidth,FeedPitch,PTPMNH,QTY,PMADC
Line6,1,NXT6,2,0,Original setup,,,004.003.0000398,KT-0800F-180,Variable,'24,21024,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000398.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,16,0
Line6,1,NXT6,2,0,Original setup,,,004.003.0000506,KT-0800F-180,Variable,'25,21025,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000506.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,8,0
Line6,1,NXT6,2,0,Original setup,004.006.0052485,"004.006.0000002,004.006.0052485,004.006.0000001,004.006.0000004,004.006.0000193",004.006.0000002,KT-0800F-180,Variable,'26,21026,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.006.0000002.bmp,SOT-23,E0804,,,,Emboss,8mm,4,1.15,8,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000564,KT-0800F-180,Variable,'27,21027,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000564.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,6,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000484,KT-0800F-180,Variable,'28,21028,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000484.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,4,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000563,KT-0800F-180,Variable,'29,21029,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000563.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,4,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000691,KT-0800F-180,Variable,'30,21030,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000691.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000687,KT-0800F-180,Variable,'31,21031,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000687.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000684,KT-0800F-180,Variable,'32,21032,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000684.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,2,0,Original setup,004.005.0050059,"004.005.0000595,004.005.0050059,004.005.0052840",004.005.0000595,KT-0800F-180,Variable,'33,21033,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.005.0000595.bmp,SOD-323-2,E0804,,,,Emboss,8mm,4,1.1,2,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000628,KT-0800F-180,Variable,'34,21034,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000628.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000616,KT-0800F-180,Variable,'35,21035,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000616.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000609,KT-0800F-180,Fixed,'36,21036,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000609.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000588,KT-0800F-180,Variable,'37,21037,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000588.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000584,KT-0800F-180,Variable,'38,21038,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000584.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,2,0,Original setup,,,004.004.0001089,KT-0800F-180,Variable,'39,21039,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.004.0001089.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,2,0
Line6,1,NXT6,2,0,Original setup,004.004.0050084,"004.004.0000085,004.004.0050084",004.004.0000085,KT-0800F-180,Variable,'40,21040,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.004.0000085.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,2,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000558,KT-0800F-180,Variable,'41,21041,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000558.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,2,0,Original setup,,,004.003.0000558,KT-0800F-180,Variable,'42,21042,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000558.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,2,0
Line6,1,NXT6,2,0,Original setup,,,,,Variable,'43,21043,,,,,,,,,,,0,
Line6,1,NXT6,2,0,Original setup,,,,,Variable,'44,21044,,,,,,,,,,,0,
Line6,1,NXT6,2,0,Original setup,,,,,Variable,'45,21045,,,,,,,,,,,0,
Line6,1,NXT6,3,0,Original setup,,,,,Variable,'01,31001,,,,,,,,,,,0,
Line6,1,NXT6,3,0,Original setup,,,,,Variable,'02,31002,,,,,,,,,,,0,
Line6,1,NXT6,3,0,Original setup,,,,,Variable,'03,31003,,,,,,,,,,,0,
Line6,1,NXT6,3,0,Original setup,,,,,Variable,'04,31004,,,,,,,,,,,0,
Line6,1,NXT6,3,0,Original setup,,,,,Variable,'05,31005,,,,,,,,,,,0,
Line6,1,NXT6,3,0,Original setup,,,004.002.0000746,KT-0800F-180,Variable,'06,31006,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000746.bmp,RA-0402,P0802,,,,Paper,8mm,2,0.57,10,0
Line6,1,NXT6,3,0,Original setup,,,004.002.0000065,KT-0800F-180,Variable,'07,31007,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000065.bmp,R-1206,P0804,,,,Paper,8mm,4,0.57,6,0
Line6,1,NXT6,3,0,Original setup,004.007.0052642,"004.007.0050057,004.007.0052642,004.007.0000060,004.007.0000063,004.007.0000259,004.007.0000286,004.007.0000447",004.007.0050057,KT-0800F-180,Variable,'08,31008,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.007.0050057.bmp,SOT-23,E0804,,,,Emboss,8mm,4,1.15,2,0
Line6,1,NXT6,3,0,Original setup,,,004.003.0000561,KT-0800F-180,Variable,'09,31009,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000561.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,2,0
Line6,1,NXT6,3,0,Original setup,004.004.0000336,"004.004.0000341,004.004.0000336",004.004.0000341,KT-0800F-180,Variable,'10,31010,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.004.0000341.bmp,C-0603,E0804,,,,Emboss,8mm,4,0.67,2,0
Line6,1,NXT6,3,0,Original setup,004.007.0052636,"004.007.0000452,004.007.0052636",004.007.0000452,KT-0800F-180,Variable,'11,31011,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.007.0000452.bmp,SOT-23,E0804,,,,Emboss,8mm,4,1.15,2,0
Line6,1,NXT6,3,0,Original setup,,,004.003.0000091,KT-0800F-180,Variable,'12,31012,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000091.bmp,C-1206,E0804,,,,Emboss,8mm,4,1.08,2,0
Line6,1,NXT6,3,0,Original setup,,,004.003.0000062,KT-0800F-180,Variable,'13,31013,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000062.bmp,C-0805,E0804,,,,Emboss,8mm,4,0.87,2,0
Line6,1,NXT6,3,0,Original setup,,,004.010.0001110,KT-0800F-180,Variable,'14,31014,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.010.0001110.bmp,SOT23-6,E0804,,,,Emboss,8mm,4,1.1,2,0
Line6,1,NXT6,3,0,Original setup,,,004.003.0000549,KT-0800F-180,Variable,'15,31015,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000549.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,4,0
Line6,1,NXT6,3,0,Original setup,,,004.003.0000049,KT-0800F-180,Variable,'16,31016,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000049.bmp,C-0805,E0804,,,,Emboss,8mm,4,0.87,4,0
Line6,1,NXT6,3,0,Original setup,,,004.002.0000062,KT-0800F-180,Variable,'17,31017,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000062.bmp,R-1206,P0804,,,,Paper,8mm,4,0.57,4,0
Line6,1,NXT6,3,0,Original setup,,,004.002.0000426,KT-0800F-180,Variable,'18,31018,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000426.bmp,RA-0402,P0802,,,,Paper,8mm,2,0.57,6,0
