JobFolder;;;;;;;;;;;;;;;;;;;;;;;
\DONGLE;DONGLE-DUAL;1;5/29/2025 15:06;;ghemmal;Line12;OR01;0;138.8;143.2;1.2;1;1;0;0;;;;;;;;
LineName;OrderNum;ModelName;ModuleNumber;SideNo;AVLNAME;AVL;PartNumber;FeederName;Status;Location;FeederID;PartNumberImage;PartShapeName;PackageName;PartComment;PMABAR;ChuteType;FeederType;TapeWidth;FeedPitch;PTPMNH;QTY;PMADC
Line12;1;NXT12;6;0;;;;;Variable;'14;61014;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'15;61015;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'16;61016;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'17;61017;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'18;61018;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;1503-3N7002-102A;KT-0800F-180;Fixed;'19;61019;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;6;0;;;1201-BB30A0-J10A;KT-0800F-180;Fixed;'20;61020;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;6;0;;;1301-A3B475-Z50A;KT-0800F-180;Fixed;'21;61021;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;6;0;;;1301-A2E180-J50A;KT-0800F-180;Fixed;'22;61022;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;6;0;;;1301-A4B106-M50A;KT-0800F-180;Fixed;'23;61023;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;6;0;;;1201-AA5600-J10A;KT-0800F-180;Fixed;'24;61024;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;6;0;;;1301-A5B476-M50A;KT-0800F-180;Fixed;'25;61025;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;6;0;;;1405-4222AU-M11A;KT-0800F-180;Fixed;'26;61026;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;6;0;;;1405-4215AU-N10A;KT-0800F-180;Fixed;'27;61027;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;6;0;;;;;Variable;'28;61028;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'29;61029;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'30;61030;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'31;61031;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'32;61032;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'33;61033;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'34;61034;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'35;61035;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'36;61036;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'37;61037;;;;;;;;;;;0;
