PartNumber,Shape,VT,SizeX,SizeY,Height,FIDL,Position,Pickup,NoPick,Usage,Reject,Error,Dislodge,Rescan,LCR,Pickup Rate,Reject Rate,Error Rate,Dislodge Rate,Success Rate
12-NML2N7-002K2VT,SOT-23-7,180,1.4,2.9,1.15,"KT8FL J79525,KT8FL K08001,KT8FL K08026,KT8FL K08126,KT8FL K08132,KT8FL K08148,KT8FL K08176,KT8FL K14387,KT8FL K14390,KT8FL K31622,KT8FL K31628",M3-32,25376,9,25367,0,3,8,0,0,99.97,0,0.01,0.03,99.96
12-NMLWM0-2N31MJR,SOT-23,180,1.4,2.9,1.15,"KT8FL K08131,KT8FL K08144,KT8FL K14340",M2-33,6628,0,6628,0,0,3,0,0,99.95,0,0,0.05,99.95
12-NMNCE1-507AKVT,TO252,70,6.1,6.6,2.3,"KT16F 113875,KT16F 113876,KT16F 113923,KT16F 114035,KT16F 114036,KT16F 114037",M4-7,11405,6,11399,0,0,3,0,0,99.97,0,0,0.03,99.97
12-NPLBT3-90402JR,SOT-23,180,1.4,2.9,1.15,"KT8FL J79414,KT8FL K08070,KT8FL K08177,KT8FL K14390,KT8FL K31628",M4-42,13231,0,13231,0,0,7,0,0,99.95,0,0,0.05,99.95
12-PMAO34-01X1VT,SOT-23,180,1.4,2.9,1.15,"KT8FL K08198,KT8FL K14334,KT8FL K14346,KT8FL K31618",M3-37,11406,6,11400,0,0,2,0,0,99.98,0,0,0.02,99.98
12-PMH0MT-34070JR,SOT-23,180,1.4,2.9,1.15,"KT8FL K08064,KT8FL K14225,KT8FL K14346,KT8FL K14350",M2-30,9948,0,9948,1,0,3,0,0,99.97,0.01,0,0.03,99.97
12-PMNCE3-007SVT,SOP8 5x3.9x1.5 P1.27,123,5,3.9,1.5,KT12F 213661,M4-7,2560,0,2560,0,0,0,0,0,100,0,0,0,100
12-PMNCE3-401BYVT,SOT-23,180,1.4,2.9,1.15,"KT8FL K08068,KT8FL K08135,KT8FL K08168",M2-32,7686,0,7686,0,0,6,0,0,99.92,0,0,0.08,99.92
12-PMNCE3-407AYVT,SOT-23,180,1.4,2.9,1.15,"KT8FL K08029,KT8FL K08165,KT8FL K08196,KT8FL K14338,KT8FL K31751",M3-36,11440,8,11432,0,28,6,0,0,99.95,0,0.24,0.05,99.7
12-PMWM03-P91AJR,SOP8 5x3.9x1.5 P1.27,123,5,3.9,1.5,KT12F 213772,M5-38,3306,0,3306,0,0,0,0,0,100,0,0,0,100
13-00R842-00BJR,QFN24 4X4,70,4,4,0.75,KT12F 213759,M4-33,3306,0,3306,0,0,0,0,0,100,0,0,0,100
13-CL7002-AST5VT,SOT23-5,180,1.6,2.9,1.25,"KT8FL K08002,KT8FL K08084,KT8FL K08131,KT8FL K08132,KT8FL K14220,KT8FL K14223",M3-35,13991,22,13969,0,3,8,0,0,99.94,0,0.02,0.06,99.92
13-DC00TM-I3408VT,SOT23-5,180,1.6,2.9,1.25,KT8FL K08128,M3-45,2560,0,2560,0,0,0,0,0,100,0,0,0,100
