Machine,Position,PartNumber,Qty,Error code,Cause,Job
NXT6,M01-20,28-HB0220-JCXVT,18,8000D701,"Processing error (shared):
Unable to find a part.",43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-20,004.003.0000534,14,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-20,0RJ0332C478,10,8000D701,"Processing error (shared):
Unable to find a part.","50UT$MODEL1$Original setup T 1,55NANO$MODEL1$Original setup T 1,75UT$MODEL1$Original setup T 1,65NANO$MODEL1$Original setup T 1,55NANO-lot46$MODEL1$Original setup T 1"
NXT6,M01-20,19-GA0122-JTX87VT,1,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.",55GTU2-lot 1$MODEL1$Original setup T 01
NXT6,M01-20,19-GA0163-FTX01JR,1,8000D701,"Processing error (shared):
Unable to find a part.",50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-21,0RJ4701C678,108,8000D701,"Processing error (shared):
Unable to find a part.","55NANO$MODEL1$Original setup T 1,65NANO$MODEL1$Original setup T 1,50UT$MODEL1$Original setup T 1,OLED65CS4VA opt test$MODEL1$Original setup T 1,55UT$MODEL1$Original setup T 1,75UT$MODEL1$Original setup T 1,65UT$MODEL1$Original setup T 1,55NANO-lot46$MODEL1$Original setup T 1,OLED65CS4VA$MODEL1$Original setup T 2"
NXT6,M01-21,19-GA0473-JTXVT,67,8000D701,"Processing error (shared):
Unable to find a part.","43GTF4 LOT 01$MODEL1$Original setup T V1,55GTU2-lot 1$MODEL1$Original setup T 01"
NXT6,M01-21,004.002.0000689,64,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-21,19-GA0560-JTX01JR,50,8000340C,"The part has been picked up with misalignment in the Y-direction.
The part center is misaligned by 3 mm or more from the holder's center of rotation.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-21,0RJ4701C678,30,80003411,Parts rejected due to machine condition,OLED65CS4VA$MODEL1$Original setup T 2
NXT6,M01-21,19-GA0560-JTX01JR,10,8000D701,"Processing error (shared):
Unable to find a part.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-21,0RJ4701C678,6,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.","OLED65CS4VA opt test$MODEL1$Original setup T 1,55UT$MODEL1$Original setup T 1,55NANO-lot46$MODEL1$Original setup T 1"
NXT6,M01-21,0RJ4701C678,6,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,55NANO-lot46$MODEL1$Original setup T 1
NXT6,M01-21,004.002.0000689,4,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-21,19-GA0560-JTX01JR,3,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.",50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-21,004.002.0000689,3,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-21,19-GA0473-JTXVT,2,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,55GTU2-lot 1$MODEL1$Original setup T 01
NXT6,M01-22,19-GA0000-JTXJR,291,8000D701,"Processing error (shared):
Unable to find a part.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-22,28-HF0105-MBXVT,165,80003411,Parts rejected due to machine condition,43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-22,19-GA0000-JTXJR,153,8000340C,"The part has been picked up with misalignment in the Y-direction.
The part center is misaligned by 3 mm or more from the holder's center of rotation.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-22,28-HF0105-MBXVT,138,8000D701,"Processing error (shared):
Unable to find a part.","43GTF4 LOT 01$MODEL1$Original setup T V1,55GTU2-lot 1$MODEL1$Original setup T 01"
NXT6,M01-22,004.003.0000507,113,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-22,19-GA0000-JTXJR,70,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-22,19-GA0000-JTXJR,32,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,"50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-22,EBC62582701,17,8000D701,"Processing error (shared):
Unable to find a part.","55NANO$MODEL1$Original setup T 1,OLED65CS4VA opt test$MODEL1$Original setup T 1,65UT$MODEL1$Original setup T 1"
NXT6,M01-22,004.003.0000507,12,80003411,Parts rejected due to machine condition,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-22,EBC62582701,11,8000D749,"Processing error (lead measurement)
 The amount of detected leads are less that the amount specified.","50UT$MODEL1$Original setup T 1,55NANO$MODEL1$Original setup T 1,OLED65CS4VA$MODEL1$Original setup T 2"
NXT6,M01-22,28-HF0105-MBXVT,6,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-22,19-GA0000-JTXJR,5,8000340B,"The part has been picked up with misalignment in the X-direction.
The part center is misaligned by 3 mm or more from the holder's center of rotation.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-22,EBC62582701,3,8000D741,Processing error. Lead width tolerance error. (Lead measurement),"55NANO$MODEL1$Original setup T 1,55NANO-lot46$MODEL1$Original setup T 1"
NXT6,M01-22,28-HF0105-MBXVT,3,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.",43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-22,EBC62582701,2,8000D744,Processing error. Lead center tolerance error. (Lead measurement),"55NANO$MODEL1$Original setup T 1,65NANO$MODEL1$Original setup T 1"
NXT6,M01-22,004.003.0000507,2,8000340E,The part has been picked up with misalignment in the X-direction that is greater than the tolerance level specified in part data.,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-22,EBC62582701,1,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,50UT$MODEL1$Original setup T 1
NXT6,M01-22,004.003.0000507,1,8000D727,Processing error. The part is incorrect. (Non leaded part),40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-22,004.003.0000507,1,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-23,28-HC0104-MBXVT,1181,8000D701,"Processing error (shared):
Unable to find a part.","43GTF4 LOT 01$MODEL1$Original setup T V1,55GTU2-lot 1$MODEL1$Original setup T 01"
NXT6,M01-23,28-HC1003-KRX1JR,1147,8000D701,"Processing error (shared):
Unable to find a part.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-23,004.003.0000018,346,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-23,28-HC0104-MBXVT,118,80003411,Parts rejected due to machine condition,43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-23,28-HC1003-KRX1JR,36,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,"50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-23,004.003.0000018,35,8000D703,Processing error: Incorrect pickup position,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-23,28-HC0104-MBXVT,19,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,"55GTU2-lot 1$MODEL1$Original setup T 01,43GTF4 LOT 01$MODEL1$Original setup T V1"
NXT6,M01-23,28-HC1003-KRX1JR,14,8000D727,Processing error. The part is incorrect. (Non leaded part),"50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
